Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Massive open online course (MOOC) in China: Status quo, opportunities, and challenges",J. Shen; M. Ye; Y. Wang; Y. Zhao,"Nanjing University of Posts & Telecommunications (NJUPT), Nanjing 210003, China; Nanjing University of Posts & Telecommunications (NJUPT), Nanjing 210003, China; Nanjing University of Posts & Telecommunications (NJUPT), Nanjing 210003, China; Nanjing University of Posts & Telecommunications (NJUPT), Nanjing 210003, China",2016 IEEE Global Engineering Education Conference (EDUCON),23-May-16,2016,,,1106,1108,"The population of open education resource and online self-studying mode have been brought great and profound changes to traditional higher education system. The introduction of Massive Open Online Course (MOOC) not only presents a convenient ways to involved in top university education courses, but also proposes an alternative method to obtain university experience and credit certification. This paper gives a brief but comprehensive review of MOOC application in China including its status quo, opportunities and challenges.",2165-9567,978-1-4673-8633-3,10.1109/EDUCON.2016.7474692,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474692,Massive Open Online Course (MOOC);higher education;education reform;information technology,History;Art;Economics;Sociology;Statistics;Engineering education,computer aided instruction;educational courses;further education;Internet,massive open online course;MOOC;China;open education resource;online self-studying mode;higher education system;top university education courses;university experience;credit certification,,7,,7,,23-May-16,,,IEEE,IEEE Conferences
Behavioral Performance Evaluation and Emotion Analytics of a MOOC Course via Fuzzy Modeling,P. Porouhan; W. Premchaiswadi,"Graduate School of Information Technology, Siam University, Bangkok, Thailand; Graduate School of Information Technology, Siam University, Bangkok, Thailand",2018 16th International Conference on ICT and Knowledge Engineering (ICT&KE),17-Jan-19,2018,,,1,8,"The main objective of this study is to compare and distinguish both behavioral differences and emotional changes of a group of students who ""earned a certificate"" after the end of a MOOC (Massive Open Online Course), versus another groups of students who ""dropped out"" the course unsuccessfully. To do this, a process mining process discovery technique so-called Fuzzy Miner, based on Frequency-Based and Time-Performance metrics, was applied on a set of event logs previously collected from an authentic learning environment. The resulting fuzzy graphs/models showed a significant dissimilarity between the two groups in terms of the behavioral structure and the sequence of the performed/executed tasks (and activities), the average (mean) duration of the waiting times (or inactive interval/time gaps) in addition to the emotional mood shifts and changes. The findings of the study can be beneficial to not only the MOOC course developers, but to lecturers and researchers as well, in such a way leading to higher attrition rate running online courses and syllabuses.",2157-099X,978-1-5386-7159-7,10.1109/ICTKE.2018.8612402,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8612402,MOOC;Massive Open Online Course;Process Mining;Fuzzy Miner Algorithm;Fuzzy Graphs;Time Performance;Emotion Analytics,Task analysis;Tools;Discussion forums;Time-frequency analysis;Electronic publishing;Mood,computer aided instruction;data mining;educational courses;ergonomics;further education;fuzzy set theory;graph theory,process mining process discovery technique;authentic learning environment;behavioral structure;inactive interval/time gaps;emotional mood shifts;MOOC course developers;behavioral differences;massive open online course;online courses;online syllabus;fuzzy modeling;behavioral performance evaluation;emotion analytics;fuzzy graphs/models;time-performance metrics;fuzzy miner;frequency-based performance metrics,,,,25,,17-Jan-19,,,IEEE,IEEE Conferences
Assessing the quality of MOOC using ISO/IEC 25010,M. Sánchez,"Maestría en Gestión Estratégica de TI, Departamento de Ciencias de la Computación, Universidad de Cuenca, Cuenca - Ecuador",2016 XI Latin American Conference on Learning Objects and Technology (LACLO),24-Nov-16,2016,,,1,4,"MOOC or Massive Open Online Course are a virtual training form present in the current educational landscape. Several authors raise doubts about whether these software products offer quality training, being necessary to establish instruments that certify their characteristics or guide how to approach optimization to ensure success and consolidation of this type of e-learning. This project proposes the construction of a software quality model or QM for MOOC, designed with the Individual Quality Model Construction or IQMC and the quality characteristics proposed in the catalog of ISO/IEC 25010. A set of sub characteristics, properties and quality measures will be established with the model, this QM will be an instrument or artifact to facilitate a systematic and practical evaluation with the selection of those characteristics that are considered relevant and consistent for scope and requirements of the evaluator, developer or end user.",,978-1-5090-6149-5,10.1109/LACLO.2016.7751803,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751803,Evaluation;ISO/IEC 25010;MOOC;Quality Model,Software;ISO Standards;IEC Standards;Instruments;Electronic learning;Training;Hardware,computer based training;educational courses;IEC standards;ISO standards;software quality;software standards,massive open online course;MOOC;ISO/IEC 25010;virtual training;software quality model;individual quality model construction;IQMC,,,,16,,24-Nov-16,,,IEEE,IEEE Conferences
MOOC for AR VR Training,Z. S. See; X. S. Lee; A. Brimo; H. Thwaites; L. Goodman,"University of Newcastle, School of Creative Industries, NSW, Australia; University of Reading, School of Built Environment, Malaysia Johor, Malaysia; Open Learning, Level 2, 332 Kent Street, Sydney, NSW, 2000, Australia; School of Arts Sunway University, CRCDM, Selangor, Malaysia; University College Dublin, SMARTlab/IDRC MME College of Engineering, Ireland","2018 IEEE Games, Entertainment, Media Conference (GEM)",01-Nov-18,2018,,,1,9,"This paper provides a case study of massive open online course (MOOC) for augmented reality (AR) and virtual reality (VR). The research studies the obstacles, challenges and usability issues entailed in the management of a novel MOOC for AR and VR training. The electronic learning form of MOOC has been adapted and made available for a number of universities and organizations. It brings learning opportunities for university students and industrial professionals to go through online-based courses on their own pace, and some MOOCs provide certifications for specialized subjects. However, the nature of working on AR and VR requires specialized equipment such as mobile tablets with high computing capability, workstation with fast graphic processing units (GPU) and head-mount-devices (HMD). This case study investigation outlines an overview of the potential obstacles and issues with the intention of how MOOC addresses best practices and the fundamental requirements of AR and VR training.",,978-1-5386-6304-2,10.1109/GEM.2018.8516514,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516514,MOOC;Augmented Reality;Virtual Reality,Training;Mobile handsets;Augmented reality;Games;Entertainment industry;Media,augmented reality;computer aided instruction;educational courses;further education,AR VR training;massive open online course;virtual reality;usability issues;electronic learning form;online-based courses;case study investigation;MOOC,,,,16,,01-Nov-18,,,IEEE,IEEE Conferences
Online learning platforms and their roles in influencing pass rate in rural communities of South Africa: Massive Open Online Courses(MOOCs),D. E. Fatumo; S. Ngwenya,"University of Fort-Hare, Alice Campus,Computer Science Department Faculty of Science and Agriculture,South Africa; University of Fort-Hare, Alice Campus,Computer Science Department Faculty of Science and Agriculture,South Africa",2020 2nd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),01-Feb-21,2020,,,1,8,"Online learning is largely becoming an integral part of the modern teaching methods and it continues to gain its popularity due to the availability of free and open-source resources that make learning and teaching much more interactive than ever before. This paper presents findings obtained when conducting the effects of the use of MOOCs in fostering learning and teaching strategies in rural communities of South Africa. The survey research design of descriptive nature was adopted to evaluate the awareness and usage of Massive Open Online Course (MOOCs) in Alice community, Eastern Cape, South Africa. This study also employed a quantitative approach by using a self-structured questionnaire to evoke information from the respondents. We used the Statistical Package for Social Sciences (SPSS) to analyze the data collected. The study revealed, amongst others, the efficacy of MOOCs in fostering teaching and learning in marginalized rural areas. This study concludes that MOOCs is a veritable medium for busy or less privileged individual to acquire a degree or certification. Therefore, the study recommends MOOCs platform to be fully embraced by people in marginalized rural areas, awareness programs about its usefulness should be propagated across the municipalities nationwide.",,978-1-7281-9520-9,10.1109/IMITEC50163.2020.9334135,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334135,massive open online course;online learning;distance learning;teaching and learning;information and communication technology,Computer aided instruction;Electronic learning;Education;Social sciences;Registers;Certification;Open source software,computer aided instruction;data analysis;educational courses;teaching,online learning platforms;pass rate;rural communities;South Africa;modern teaching methods;open-source resources;massive open online courses;survey research design;Alice community;marginalized rural areas;MOOCs platform;statistical package for social sciences;SPSS;data analysis,,,,19,,01-Feb-21,,,IEEE,IEEE Conferences
Students’ Satisfaction of a Design Thinking MOOC with Personalized Learning Objectives,T. Rohloff; K. von Schmieden; C. Meinel,"Hasso Plattner Institute,Potsdam,Germany; Hasso Plattner Institute,Potsdam,Germany; Hasso Plattner Institute,Potsdam,Germany",2020 IEEE Learning With MOOCS (LWMOOCS),26-Oct-20,2020,,,37,41,"Due to their openness and low barriers to enroll, most Massive Open Online Courses (MOOCs) offer free access to knowledge for almost everyone. This attracts a large number of learners, each with their own individual intentions and motivations to join a course. However, personal support and guidance can almost never be provided at this scale. All learners have to follow the same usually weekly structured content and the learning success is only measured by the achievement of a certificate. To overcome this one-size-fits-all approach with technical means, we introduced a tool for Personalized Learning Objectives. This enables learners to achieve more individual objectives in courses, follow different learning paths, and link their motivations and intentions to the definition of learning success. Previous studies have already examined, among other aspects, the usefulness, acceptance, and achievement rates of learning objectives in MOOCs. In this complimentary research, the satisfaction of students with and without a selected learning objective is compared in a course on topics from the field of Design Thinking.",,978-1-7281-9728-9,10.1109/LWMOOCS50143.2020.9234349,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234349,MOOCs;Learning Objectives;Goal-Oriented Learning;Self-Regulated Learning;E-Learning,,computer aided instruction;educational courses,individual intentions;personal support;weekly structured content;learning success;one-size-fits-all approach;personalized learning objectives;individual objectives;learning paths;MOOC;selected learning objective;Design Thinking;Massive Open Online Courses,,,,13,,26-Oct-20,,,IEEE,IEEE Conferences
Embedded smart home — remote lab MOOC with optional real hardware experience for over 4000 students,M. Malchow; M. Bauer; C. Meinel,"Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany; Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany; Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany",2018 IEEE Global Engineering Education Conference (EDUCON),24-May-18,2018,,,1104,1111,"MOOCs (Massive Open Online Courses) become more and more popular for learners of all ages to study further or to learn new subjects of interest. The purpose of this paper is to introduce a different MOOC course style. Typically, video content is shown teaching the student new information. After watching a video, self-test questions can be answered. Finally, the student answers weekly exams and final exams like the self-test questions. Out of the points that have been scored for weekly and final exams a certificate can be issued. Our approach extends the possibility to receive points for the final score with practical programming exercises on real hardware. It allows the student to do embedded programming by communicating over GPIO pins to control LEDs and measure sensor values. Additionally, they can visualize values on an embedded display using web technologies, which are an essential part of embedded and smart home devices to communicate with common APIs. Students have the opportunity to solve all tasks within the online remote lab and at home on the same kind of hardware. The evaluation of this MOOCs indicates the interesting design for students to learn an engineering technique with new technology approaches in an appropriate, modern, supporting and motivating way of teaching.",2165-9567,978-1-5386-2957-4,10.1109/EDUCON.2018.8363353,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363353,E-Learning;MOOC Remote Lab;Distance Learning;Embedded Programming;Smart Home Education,Task analysis;Humidity;Light emitting diodes;Hardware;Ocean temperature;Programming profession,application program interfaces;computer aided instruction;computer science education;educational courses;embedded systems;home automation;Internet;teaching,weekly exams;final exams;self-test questions;final score;practical programming exercises;embedded programming;measure sensor values;embedded display;embedded home devices;smart home devices;online remote lab;interesting design;students MOOCs;Massive Open Online Courses;video content;embedded smart home;remote lab MOOC;MOOC course style;web technologies;API;GPIO pins,,2,,5,,24-May-18,,,IEEE,IEEE Conferences
Teaching signal processing online: A report from the trenches,D. H. Johnson; P. Prandoni; P. C. Pinto; M. Vetterli,"Department of Electrical and Computer Engineering, Rice University, Houston, TX 77005, USA; Department of Electrical and Computer Engineering, Rice University, Houston, TX 77005, USA; Department of Electrical and Computer Engineering, Rice University, Houston, TX 77005, USA; Department of Electrical and Computer Engineering, Rice University, Houston, TX 77005, USA","2013 IEEE International Conference on Acoustics, Speech and Signal Processing",21-Oct-13,2013,,,8786,8790,"After years of experimentation, online teaching has gone through a phase transition with the appearance of massive open online courses (MOOCs), following the model pioneered by Salman Khan with short videos and the use of tablets. Dozens of university-level courses are now available, and followed by hundreds of thousands of online students. We report on early experiences with teaching “Fundamentals of Electrical Engineering” and “Digital Signal Processing” on an open online platform (Coursera). We address in particular: (i) suitability of online platforms for signal processing oriented topics; (ii) structuring of material for the online format; (iii) quizzes and exercises for large classes; (iv) grading methods and possible certification issues; (v) learning from teaching, forums, and data mining of students feedback.",2379-190X,978-1-4799-0356-6,10.1109/ICASSP.2013.6639382,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6639382,Online education;signal processing,Videos;Materials;Digital signal processing;Electrical engineering;Educational institutions,computer aided instruction;data mining;educational courses;signal processing;telecommunication engineering education,online teaching;massive open online courses;MOOC;university level courses;digital signal processing;open online platform;certification issues;data mining;students feedback,,5,,5,,21-Oct-13,,,IEEE,IEEE Conferences
An exploratory analysis on MOOCs retention and certification in two courses of different knowledge areas,R. Cobos; F. Jurado,"Computer Science Department, Universidad Autónoma de Madrid, Francisco Tomás y Valiente, 11, 28049 Madrid (Spain); Computer Science Department, Universidad Autónoma de Madrid, Francisco Tomás y Valiente, 11, 28049 Madrid (Spain)",2018 IEEE Global Engineering Education Conference (EDUCON),24-May-18,2018,,,1659,1666,"The massive quantity of learners generating information related to Massive Open Online Courses (MOOCs) make researchers analyze large datasets about the learners' profile, interaction, satisfaction, etc. and these datasets can come from multiple data sources related to the same or different courses. This paper details the conducted exploratory analysis performed with data from two different MOOCs of different knowledge areas to check the factors that influence the learners' retention and certification. The preliminary results we obtained allow us to provide some conclusions with the aim to keep researching in order to generalize our achievements.",2165-9567,978-1-5386-2957-4,10.1109/EDUCON.2018.8363434,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363434,Learning Analytics;MOOC,Tools;Videos;Certification;Engineering education;Conferences;Data analysis;Navigation,certification;computer aided instruction;educational courses,certification;different knowledge areas;Massive Open Online Courses;datasets;multiple data sources;same courses;different courses;paper details the conducted exploratory analysis;different MOOCs,,2,,13,,24-May-18,,,IEEE,IEEE Conferences
Towards Cybersecurity MOOC Certification,M. Beckerle; A. Chatzopoulou; S. Fischer-Hübner,"Karlstad University,Department of Computer Science,Sweden; TÜV AUSTRIA GROUP,TÜV TRUST IT GmbH,Germany; Karlstad University,Department of Computer Science,Sweden",2021 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),29-Oct-21,2021,,,1,11,"Especially during the COVID-19 crisis, MOOCs have become more important than ever, also for the cybersecurity domain. The certification of cybersecurity MOOCs could help promote quality aspects of MOOCs and enable their quality assessment and comparison. We conducted an online survey to analyse the role of cybersecurity MOOC certification based on proposed quality criteria for cybersecurity MOOCs and for MOOCs in general. Participants reported mixed experiences with MOOCs and largely agreed with our proposed quality criteria. This paper shows that there is a high acceptance and need for certification.",2768-0657,978-1-6654-1012-0,10.1109/EuroSPW54576.2021.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583719,Cybersecruity;Massive Open Online Courses (MOOCs);Certification;Evaluation,COVID-19;Computer aided instruction;Electronic learning;Quality assessment;Computer security;Certification,,,,,,11,,29-Oct-21,,,IEEE,IEEE Conferences
MOOC panel - Future educational challenges in computer engineering education: Will MOOCs be a threat or an opportunity?,,,2014 International Conference on Field-Programmable Technology (FPT),09-Apr-15,2014,,,1,1,"Summary form only given, as follows. The MOOC (massively open online course) is said to be a ""game-changer"" by The New York Times. The major MOOC platforms are the non-profit edX, supported by a consortium of universities led by MIT and Harvard; and the for-profits Coursera, launched by Stanford professors Andrew Ng and Daphne Koller, and Udacity, launched by Sebastian Thrun. These online courses are massive in scale enrolling thousands of students limited only by the technology. They are openly available at zero cost. However, some courses charge a minimum fee for the certification. The course is available online and so can be accessed remotely if there is an internet connection. They help in decentralizing the education system. This creates an internet of education. It also helps to overcome the cultural and social barriers that hindered people from accessing education. MOOCs will allow people to educate themselves based on what they want to learn. It gives them a wide range of topics to choose and learn. They can take advantage of the growing computer awareness and IT penetration. MOOCs are already a big hit in rural communities and developing countries where people don't have as much access to traditional schools and colleges. MOOCs are causing a massive shift in the way people learn and access education. In spite of these advantages, they have their share of disadvantages too. The technology is unreliable. There is a lack of interest among the governments to initiate the institutional change. Also the pace of implementation is a grave concern. People worry that this could lead to a one-way transfer of educational materials from the rich countries to the poor countries will amount to a wave of ""intellectual neo-colonialism."" Also, language is a major barrier to have a global reach. The emphasis shifts from the teacher to the teaching material. Students have to digest the information and learn by themselves. They review the content in isolation and try to learn without access to peers or professors. This makes it difficult to stay motivated. Students are also missing the traditional face-to-face interactions. Lastly, schools and employers do not take MOOCs seriously. Therefore, there is a mixed response from the educators. Some see them as an opportunity and some see them as a threat.",,978-1-4799-6245-7,10.1109/FPT.2014.7082826,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7082826,,Internet;Computer science education;Terminology;Certification;Cultural differences,,,,,,,,09-Apr-15,,,IEEE,IEEE Conferences
Embedded smart home — remote lab grading in a MOOC with over 6000 participants,M. Malchow; J. Renz; M. Bauer; C. Meinel,"Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany; Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany; Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany; Hasso Plattner Institute (HPI), University of Potsdam, Potsdam, Germany",2017 Annual IEEE International Systems Conference (SysCon),29-May-17,2017,,,1,6,"The popularity of MOOCs has increased considerably in the last years. A typical MOOC course consists of video content, self tests after a video and homework, which is normally in multiple choice format. After solving this homeworks for every week of a MOOC, the final exam certificate can be issued when the student has reached a sufficient score. There are also some attempts to include practical tasks, such as programming, in MOOCs for grading. Nevertheless, until now there is no known possibility to teach embedded system programming in a MOOC course where the programming can be done in a remote lab and where grading of the tasks is additionally possible. This embedded programming includes communication over GPIO pins to control LEDs and measure sensor values. We started a MOOC course called ""Embedded Smart Home"" as a pilot to prove the concept to teach real hardware programming in a MOOC environment under real life MOOC conditions with over 6000 students. Furthermore, also students with real hardware have the possibility to program on their own real hardware and grade their results in the MOOC course. Finally, we evaluate our approach and analyze the student acceptance of this approach to offer a course on embedded programming. We also analyze the hardware usage and working time of students solving tasks to find out if real hardware programming is an advantage and motivating achievement to support students learning success.",2472-9647,978-1-5090-4623-2,10.1109/SYSCON.2017.7934728,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934728,,Programming;Light emitting diodes;Hardware;Humidity;Smart homes;Temperature sensors;Oceans,computer aided instruction;educational courses;embedded systems;home automation;light emitting diodes;sensors;virtual instrumentation,embedded smart home;remote lab grading;MOOC course;video content;self tests;embedded system programming teaching;GPIO pins;LED control;sensor value measurement,,,,7,,29-May-17,,,IEEE,IEEE Conferences
"LCM: A Model for Planning, Designing and Conducting Learner-Centric MOOCs",S. Murthy; J. M. Warriem; S. Sahasrabudhe; S. Iyer,"Indian Inst. of Technol. Bombay, Mumbai, India; Indian Inst. of Technol. Madras, Chennai, India; Indian Inst. of Technol. Bombay, Mumbai, India; Indian Inst. of Technol. Bombay, Mumbai, India",2018 IEEE Tenth International Conference on Technology for Education (T4E),27-Dec-18,2018,,,73,76,"MOOCs are expanding in popularity and scope, and several new courses are being designed and implemented in a variety of contexts. The discussion around MOOCs is growing too, however, much of that is centered around technological or certification-related issues. There are still not many advances in the pedagogical format, and many MOOCs end up being an online version of the traditional lecture format. At the same time, several problems have been reported, such as, lack of learner engagement, low participation in forums and low completion rates. To address these challenges, we present the Learner-Centric MOOC model: a prescriptive model consisting of a set of guidelines, activity formats and actions for MOOC creators. The LCM model guides instructors in conceptualizing, creating and conducting a MOOC, while maintaining a learner-centric pedagogical approach at its core. The LCM model consists of four structural elements: Learning Dialogs, Learning by Doing activities, Learning Experience Interaction and Learning Extension Trajectories, and Orchestration dynamics. In this paper, we describe the structural and dynamic aspects of the LCM model, show its application in various MOOCs and illustrate evaluation results from MOOCs based on LCM model.",,978-1-7281-1143-8,10.1109/T4E.2018.00022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590110,"Learner-centric pedagogy, MOOC design, Active learning, Peer learning",Education;Trajectory;Discussion forums;Reflection;Message systems;Guidelines;Animation,computer aided instruction;computer science education;educational courses,Learner-Centric MOOC model;learner-centric pedagogical approach;MOOC creator guidelines;LCM model;Learning Dialogs;Learning by Doing activities;Learning Experience Interaction;Learning Extension Trajectories;Orchestration dynamics;Massive Open Online Courses;MOOC instructor guide,,6,,22,,27-Dec-18,,,IEEE,IEEE Conferences
The Search for the MOOC Credit Hour,J. J. Lohse; F. Altoe; J. Jose; A. M. Nowotarski; F. Rahman; R. C. Tuck; D. A. Joyner,"Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA; Georgia Institute of Technology,Atlanta,Georgia,USA",2020 IEEE Learning With MOOCS (LWMOOCS),26-Oct-20,2020,,,124,130,"Over the past decade, MOOCs have risen to prominence in part because most do not carry heavy requirements regarding accreditation, scope, and evaluation. While this has allowed MOOCs to proliferate, it has led to difficulty under-standing what completing a particular MOOC means. Individual MOOCs can vary tremendously in their quantity of content, their depth of assessment, and their mechanisms to ensure academic integrity. In order for MOOC credentials to have value in academia and the workplace, however, there must be some trust in what a particular credential means about the learner. In this work, we perform a study to understand the variety of MOOCs available, then pro¬pose a MOOC Content Matrix as a short, objective way to summarize what a particular MOOC entails and, in turn, what value its certificate gives.",,978-1-7281-9728-9,10.1109/LWMOOCS50143.2020.9234379,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234379,MOOCs;credit hours;online education,Measurement;Computer aided instruction;Electronic learning;Employment;Accreditation;History,computer aided instruction;educational courses,MOOC credit hour;MOOC credentials;Content Matrix;academic integrity,,,,10,,26-Oct-20,,,IEEE,IEEE Conferences
MOOC affordances model,A. A. Economides; M. A. Perifanou,"SMILE lab, IPPS in Information Systems, University of Macedonia, Thessaloniki, Greece; SMILE lab, IPPS in Information Systems, University of Macedonia, Thessaloniki, Greece",2018 IEEE Global Engineering Education Conference (EDUCON),24-May-18,2018,,,599,607,"Although there is a great interest on MOOCs, it is not clear what a MOOC should provide to learners enabling them to achieve their objectives. This paper proposes the MOOC Affordances Model (MOOC-AM) for characterizing a MOOC. The MOOC-AM consists of eight dimensions of affordances: 1) Massiveness, 2) Openness, 3) Interaction, Communication, Cooperation & Collaboration, 4) Personalization & Adaptation, 5) Autonomy, Choice & Control, 6) Support, Scaffolding, Help, Facilitation, Assistance, Feedback & Recommendations, 7) Mobility & Ubiquity, and 8) Accreditation, Certification & Assessment. In order to illustrate the application of the MOOC-AM, MOOCs on Programming in Python were examined regarding the affordances they provide. The findings reveal that none MOOC excels in all eight affordances. Learners, educators, designers, developers, and policy makers could consider this MOOC-AM to make appropriate decisions.",2165-9567,978-1-5386-2957-4,10.1109/EDUCON.2018.8363285,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363285,Accreditation;Adaptation;Assessment;Autonomy;Certification;Collaboration;Control;Feedback;Mobility;Personalization;Python;Recommendations;Support,Collaboration;Certification;Tools;Accreditation;Programming profession,computer aided instruction;educational courses;mobile computing,MOOC affordances model;massiveness;openness;personalization;adaptation;mobility;MOOC-AM;ubiquity;accreditation;certification;Python;assessment,,2,,43,,24-May-18,,,IEEE,IEEE Conferences
Comments on the Development of MOOCs and the Design of Core Supporting Policy in China,Q. Zheng; X. Zhang; L. Chen,"RCDE, Beijing Normal Univ., Beijing, China; RCDE, Beijing Normal Univ., Beijing, China; RCDE, Beijing Normal Univ., Beijing, China",2016 International Conference on Educational Innovation through Technology (EITT),02-Feb-17,2016,,,10,14,"The development of MOOCs in China has attracted the attention from the government to colleges and universities as well as the society, which is also the key of the sustainable development of MOOCs. In this study, through data investigation, we analyzed the general situation of MOOCs, and presents the overall state of the current MOOCs in China. Based on the data of 14 domestic MOOCs platforms with 1388 courses and a survey of 41 colleges and universities, this study analyzed the institutions of the course construction, the course set modes, the course application models, and also analyzed the problems such as course certificate and credits management. Finally, from the perspective of the quality assurance system, we designed the sustainable development of MOOCs in China.",,978-1-5090-6138-9,10.1109/EITT.2016.10,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7839485,MOOCs;Course Development;Credit System;Quality Assurance,Education;Online services;Technological innovation;Government;Sustainable development;Quality assurance,computer aided instruction;data analysis;educational courses;educational institutions;Internet;quality assurance;sustainable development,MOOC;massively open online course;core supporting policy design;China;sustainable development;data investigation;college;university;quality assurance system,,1,,5,,02-Feb-17,,,IEEE,IEEE Conferences
Discussion on the innovative mixed model of Automatic control experiment MOOC teaching,J. Zengru; D. Yaping,"Experimental center, school of automation, Beijing institute of technology, 100081; Experimental center, school of automation, Beijing institute of technology, 100081",2019 Chinese Control And Decision Conference (CCDC),12-Sep-19,2019,,,3008,3011,"The online course is a new education platform, and its credits have been gradually accepted as college credit. China University Love Course Platform can provide course certificates. At present, universities encourage teachers to teach MOOC courses, which promotes both the internationalization of higher education and the innovation of traditional teaching. However, there are several issues with the current MOOC teaching. First, there is an unbalanced low proportion of laboratory courses; Second, the offered laboratory courses mainly focus on theory, leading to the lack of experimental design and other teaching links; Third, the lack of some practical trainings, such as practical experiments and remote experiments, reduces teaching effects; Fourth, MOOC belongs to the network teaching mode. It is difficult for students to complete the MOOC course if it is not combined with offline course management,. To solve these issues, this paper designed an experiment on automatic control theory, which is a mixed teaching mode, namely the MOOC laboratory teaching + auxiliary Web online teaching platform + off-line laboratory teaching and management. It enables the students to not only take online MOOC content, also manage and download the study materials remotely. We combine online education and offline experiment teaching, thereby providing students with a variety of learning modes.",1948-9447,978-1-7281-0106-4,10.1109/CCDC.2019.8833051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833051,Experiment on automatic control theory;MOOC experiment teaching;The Web platform;Laboratory teaching;Remote control experiment,Education;Mathematical model;Heuristic algorithms;Computational modeling;Analytical models;Remote control,courseware;educational courses;educational institutions;further education;teaching,online education;offline experiment teaching;online course;education platform;China University Love Course Platform;course certificates;MOOC course;higher education;teaching links;practical experiments;remote experiments;network teaching mode;offline course management;automatic control theory;mixed teaching mode;MOOC laboratory teaching + auxiliary Web online teaching platform;MOOC teaching;laboratory courses;automatic control experiment MOOC teaching,,,,4,,12-Sep-19,,,IEEE,IEEE Conferences
