source,Item type,Authors,Title,Publication year,Abstract,URLs,Proceedings title,Series,,,,
ACM,Conference Paper,"Guo PJ,Reinecke K",Demographic Differences in How Students Navigate through MOOCs,2014,"The current generation of Massive Open Online Courses (MOOCs) attract a diverse student audience from all age groups and over 196 countries around the world. Researchers, educators, and the general public have recently become interested in how the learning experience in MOOCs differs from that in traditional courses. A major component of the learning experience is how students navigate through course content.This paper presents an empirical study of how students navigate through MOOCs, and is, to our knowledge, the first to investigate how navigation strategies differ by demographics such as age and country of origin. We performed data analysis on the activities of 140,546 students in four edX MOOCs and found that certificate earners skip on average 22% of the course content, that they frequently employ non-linear navigation by jumping backward to earlier lecture sequences, and that older students and those from countries with lower student-teacher ratios are more comprehensive and non-linear when navigating through the course.From these findings, we suggest design recommendations such as for MOOC platforms to develop more detailed forms of certification that incentivize students to deeply engage with the content rather than just doing the minimum necessary to earn a passing grade. Finally, to enable other researchers to reproduce and build upon our findings, we have made our data set and analysis scripts publicly available.",https://doi.org/10.1145/2556325.2566247;http://dx.doi.org/10.1145/2556325.2566247,Proceedings of the First ACM Conference on Learning @ Scale Conference,L@S '14,,,,
ACM,Conference Paper,"Jiang X,Liu W,Liu J",Learning Analytics in a Blended Computer Education Course,2019,"Massive open online courses (MOOCs) have been widely used and many institutions have invested considerable effort in developing, promoting and delivering such courses. Online educational pattern, both inside and outside of the campus community, have been become more popular. In recent years, a new research agenda has emerged, focusing on predicting and explaining dropouts and MOOCs with low completion rates. However, due to different problem specifications and evaluation metrics, performing learning analytics (LA) of online education is a challenging task. The online learner has a variety of purposes, such as complete learning courses, some knowledge points in work-based learning courses, selective learning for reviewing exams, certificate-based learning, and watching videos for interest. According to users'online behavior data, it is difficult to study why so many people drop out of MOOCs. Because users have many reasons, such as not understanding, bad network connection, other things to do, and so on. This paper study was performed to analyze data of students' online activity in a blended computer education course in Northwestern Polytechnical University (NPU) to identify quantitative markers that correlate with students' performance and might be used as early warning signs for possible data-driven measures. We applied the research methodology to three online courses offered generously by the Chinese University MOOC (CUMOOC) to evaluate the effectiveness.",https://doi.org/10.1145/3397453.3397456;http://dx.doi.org/10.1145/3397453.3397456,Proceedings of the International Workshop on Artificial Intelligence and Education,WAIE 2019,,,,
ACM,Conference Paper,"Lang D,Chen G,Mirzaei K,Paepcke A",Is Faster Better? A Study of Video Playback Speed,2020,"We explore the relationship between video playback speed and student learning outcomes. Using an experimental design, we present the results of a pre-registered study that assigns users to watch videos at either 1.0x or 1.25x speed. We find that students who consume sped content are more likely to get better grades in a course, attempt more content, and obtain more certificates. We also find that when videos are sped up, students spend less time consuming videos and are marginally more likely to complete more video content. These findings suggest that future study of playback speed as a tool for optimizing video content for MOOCs is warranted. Applications for reinforcement learning and adaptive content are discussed.",https://doi.org/10.1145/3375462.3375466;http://dx.doi.org/10.1145/3375462.3375466,Proceedings of the Tenth International Conference on Learning Analytics & Knowledge,LAK '20,,,,
ACM,Conference Paper,"Cobos R,Palla VM",EdX-MAS: Model Analyzer System,2017,"In this article an interactive tool for supporting the generation of Predictive Models for edX MOOCs is presented. This tool is a modular and scalable application that, based on the data collected from a MOOC course, allows the simple application of a complete Data Science process, where Machine Learning algorithms are applied to generate predictive models which could be used to predict which learners have passed the course and therefore obtained a certificate. The presented tool is called \",https://doi.org/10.1145/3144826.3145396;http://dx.doi.org/10.1145/3144826.3145396,Proceedings of the 5th International Conference on Technological Ecosystems for Enhancing Multiculturality," and it helps the user to analyze and compare the prediction quality of different Machine Learning algorithms, allowing the possibility of exporting the results in order to do a more exhaustive analysis.","data analysis, MOOC, Learning Analytics, predictive model, machine learning, Data Science",TEEM 2017,,
ACM,Conference Paper,"Zhao Y,Davis D,Chen G,Lofi C,Hauff C,Houben GJ",Certificate Achievement Unlocked: How Does MOOC Learners' Behaviour Change?,2017,"Massive Open Online Courses (MOOCs) play an ever more central role in open education. However, in contrast to traditional classroom settings, many aspects of learners' behaviour in MOOCs are not well researched. In this work, we focus on modelling learner behaviour in the context of continuous assessments with completion certificates, the most common assessment setup in MOOCs today. Here, learners can obtain a completion certificate once they obtain a required minimal score (typically somewhere between 50-70%) in tests distributed throughout the duration of a MOOC. In this setting, the course material or tests provided after \",https://doi.org/10.1145/3099023.3099063;http://dx.doi.org/10.1145/3099023.3099063,"Adjunct Publication of the 25th Conference on User Modeling, Adaptation and Personalization"," do not contribute to earning the certificate (which is ungraded), thus potentially affecting learners' behaviour. Therefore, we explore how ``passing'' impacts MOOC learners: do learners alter their behaviour after this point? And if so how? While in traditional classroom-based learning the role of assessment and its influence on learning behaviour has been well-established, we are among the first to provide answers to these questions in the context of MOOCs.","learning analytics, certificate achievement, moocs",UMAP '17,,
ACM,Conference Paper,"Ruipérez-Valiente JA,Joksimovi_ S,Kovanovi_ V,Ga_evi_ D,Muñoz-Merino PJ,Delgado Kloos C",A Data-Driven Method for the Detection of Close Submitters in Online Learning Environments,2017,"Online learning has become very popular over the last decade. However, there are still many details that remain unknown about the strategies that students follow while studying online. In this study, we focus on the direction of detecting 'invisible' collaboration ties between students in online learning environments. Specifically, the paper presents a method developed to detect student ties based on temporal proximity of their assignment submissions. The paper reports on findings of a study that made use of the proposed method to investigate the presence of close submitters in two different massive open online courses. The results show that most of the students (i.e., student user accounts) were grouped as couples, though some bigger communities were also detected. The study also compared the population detected by the algorithm with the rest of user accounts and found that close submitters needed a statistically significant lower amount of activity with the platform to achieve a certificate of completion in a MOOC. These results confirm that the detected close submitters were performing some collaboration or even engaged in unethical behaviors, which facilitates their way into a certificate. However, more work is required in the future to specify various strategies adopted by close submitters and possible associations between the user accounts.",https://doi.org/10.1145/3041021.3054161;http://dx.doi.org/10.1145/3041021.3054161,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,,,
ACM,Conference Paper,"Yeomans M,Reich J",Planning Prompts Increase and Forecast Course Completion in Massive Open Online Courses,2017,"Among all of the learners in Massive Open Online Courses (MOOCs) who intend to complete a course, the majority fail to do so. This intention-action gap is found in many domains of human experience, and research in similar goal pursuit domains suggests that plan-making is a cheap and effective nudge to encourage follow-through. In a natural field experiment in three HarvardX courses, some students received open-ended planning prompts at the beginning of a course. These prompts increased course completion by 29%, and payment for certificates by 40%. This effect was largest for students enrolled in traditional schools. Furthermore, the contents of students' plans could predict which students were least likely to succeed - in particular, students whose plans focused on specific times were unlikely to complete the course. Our results suggest that planning prompts can help learners adopted productive frames of mind at the outset of a learning goal that encourage and forecast student success.",https://doi.org/10.1145/3027385.3027416;http://dx.doi.org/10.1145/3027385.3027416,Proceedings of the Seventh International Learning Analytics & Knowledge Conference,LAK '17,,,,
ACM,Conference Paper,"Lim CL,Tang SF,Ravichandran P",A Study on the Mediation Effects of Intention to Enroll in MOOCs on Its Actual Usage,2017,"The paradigm shift in the usage of Massive Open Online Course in Malaysia has reached a vital landmark with the recent launch of credit transfer guidelines for MOOCs by the Malaysian Qualification Agency (MQA) on 27th September 2016. Although the use of MOOCs in Malaysian Universities are evident from the Malaysian OpenLeanring MOOCs portal, still the millions of learners who have already participated in MOOCS, do not move to the stage of obtaining a completion certificate (Kolowick, 2013). As such, in the context of Malaysia, there seems to be a serious concern for all those who wish to implement MOOCs in their pedagogical system. This research employed the bootstrapping resampling approach of Shrout and Bolger (2002) to assess the mediating effects of Intention to Enroll in MOOCs (IE). The mediation analysis was used to determine the mediation effects of Intention to Enroll in MOOCs (IE) on relationships between Facilitating Conditions (FC) and Habit (HB) as independent variables and MOOCs Actual Usage (AU) as dependent variable. From the results of mediation analysis it was found that Intention to Enroll in MOOCs (IE) partially mediates the relationship between Habit (HB) and MOOCs Actual Usage (AU).",https://doi.org/10.1145/3026480.3026489;http://dx.doi.org/10.1145/3026480.3026489,"Proceedings of the 8th International Conference on E-Education, E-Business, E-Management and E-Learning",IC4E '17,,,,
ACM,Conference Paper,"Ruiperez-Valiente JA,Alexandron G,Chen Z,Pritchard DE",Using Multiple Accounts for Harvesting Solutions in MOOCs,2016,"The study presented in this paper deals with copying answers in MOOCs. Our findings show that a significant fraction of the certificate earners in the course that we studied have used what we call harvesting accounts to find correct answers that they later submitted in their main account, the account for which they earned a certificate. In total, around 2.5% of the users who earned a certificate in the course obtained the majority of their points by using this method, and around 10% of them used it to some extent. This paper has two main goals. The first is to define the phenomenon and demonstrate its severity. The second is characterizing key factors within the course that affect it, and suggesting possible remedies that are likely to decrease the amount of cheating. The immediate implication of this study is to MOOCs. However, we believe that the results generalize beyond MOOCs, since this strategy can be used in any learning environments that do not identify all registrants.",https://doi.org/10.1145/2876034.2876037;http://dx.doi.org/10.1145/2876034.2876037,Proceedings of the Third (2016) ACM Conference on Learning @ Scale,L@S '16,,,,
ACM,Conference Paper,"Qiu J,Tang J,Liu TX,Gong J,Zhang C,Zhang Q,Xue Y",Modeling and Predicting Learning Behavior in MOOCs,2016,"Massive Open Online Courses (MOOCs), which collect complete records of all student interactions in an online learning environment, offer us an unprecedented opportunity to analyze students' learning behavior at a very fine granularity than ever before.Using dataset from xuetangX, one of the largest MOOCs from China, we analyze key factors that influence students' engagement in MOOCs and study to what extent we could infer a student's learning effectiveness. We observe significant behavioral heterogeneity in students' course selection as well as their learning patterns. For example, students who exert higher effort and ask more questions are not necessarily more likely to get certificates. Additionally, the probability that a student obtains the course certificate increases dramatically (3 x higher) when she has one or more \",https://doi.org/10.1145/2835776.2835842;http://dx.doi.org/10.1145/2835776.2835842,Proceedings of the Ninth ACM International Conference on Web Search and Data Mining,".Moreover, we develop a unified model to predict students' learning effectiveness, by incorporating user demographics, forum activities, and learning behavior. We demonstrate that the proposed model significantly outperforms (+2.03-9.03% by F1-score) several alternative methods in predicting students' performance on assignments and course certificates. The model is flexible and can be applied to various settings. For example, we are deploying a new feature into xuetangX to help teachers dynamically optimize the teaching process.","moocs, predictive model, online engagement, user behavior",WSDM '16,,
ACM,Conference Paper,Yang S,Topical Scopes of Digital and Data Curation Curricula,2015,"We analyzed topical scopes of two digital and two data curation curricula offered as (post)graduate certificates or specializations. We investigated a question of what the topical similarities and differences are between the curricula. To address this question: first, we identified topics from individual course and curriculum descriptions; second, we compared the topics from curriculum descriptions with each other; and third, we compared the topics from course descriptions that are part of a curriculum. We found several topics which were acting as least common denominators between two digital curation and between two data curation curricula. Such topics illustrated the fundamental components within the same type of curricula. The two common topics among all curricula were 'standards' and 'management.' This may indicate the importance of following the standards in preparation of digital (data) objects and in curatorial processes, as well as the importance of continued management of such resources in a repository. Our approach may be applicable to other types of educational opportunities such as workshops, MOOCs, and webinars. As we analyze more curation curricula, we may be able to develop a more accurate and comprehensive topical framework for the domain of digital and data curation, further enhancing the education for future digital and data curators.",,Proceedings of the 78th ASIS&T Annual Meeting: Information Science with Impact: Research in and for the Community,ASIST '15,,,,
ACM,Journal Article,Garg V,Learning How to Learn with Prof. Barbara Oakley,2015,"Massive Online Open Courses or MOOCs are increasingly becoming visible with the advent of platforms like Coursera, which offer verified certificates. One of the more popular courses on Coursera is 'Learning How to Learn', which specifically targets students and provides them with a scientific basis for effective pedagogical techniques. The course is the brainchild of Prof. Barbara Oakley and her co-instructor, Terrence Sejnowski, the Francis Crick Professor at the Salk Institute. I recently had the opportunity to interview Prof. Barbara Oakley. This article is a summary of her responses.",https://doi.org/10.1145/2809957.2809959;http://dx.doi.org/10.1145/2809957.2809959,,,,,,
ACM,Journal Article,"Maas A,Heather C,Do Ctom,Brandman R,Koller D,Ng A",Offering Verified Credentials in Massive Open Online Courses: MOOCs and Technology to Advance Learning and Learning Research (Ubiquity Symposium),2014,"Massive open online courses (MOOCs) enable the delivery of high-quality educational experiences to large groups of students. Coursera, one of the largest MOOC providers, developed a program to provide students with verified credentials as a record of their MOOC performance. Such credentials help students convey achievements in MOOCs to future employers and academic programs. This article outlines the process and biometrics Coursera uses to establish and verify student identity during a course. We additionally present data that suggest verified certificate programs help increase student success rates in courses.",https://doi.org/10.1145/2591684;http://dx.doi.org/10.1145/2591684,,,,,,
ACM,Conference Paper,"Nesterko SO,Seaton D,Reich J,McIntyre J,Han Q,Chuang I,Ho A",Due Dates in MOOCs: Does Stricter Mean Better?,2014,"Massive Open Online Courses (MOOCs) employ a variety of components to engage students in learning (eg. videos, forums, quizzes). Some components are graded, which means that they play a key role in a student's final grade and certificate attainment. It is not yet clear how the due date structure of graded components affects student outcomes including academic performance and alternative modes of learning of students. Using data from HarvardX and MITx, Harvard's and MIT's divisions for online learning, we study the structure of due dates on graded components for 10 completed MOOCs. We find that stricter due dates are associated with higher certificate attainment rates but fewer students who join late being able to earn a certificate. Our findings motivate further studies of how the use of graded components and deadlines affects academic and alternative learning of MOOC students, and can help inform the design of online courses.",https://doi.org/10.1145/2556325.2567877;http://dx.doi.org/10.1145/2556325.2567877,Proceedings of the First ACM Conference on Learning @ Scale Conference,L@S '14,,,,
ACM,Conference Paper,"Wilkowski J,Deutsch A,Russell DM",Student Skill and Goal Achievement in the Mapping with Google MOOC,2014,"Students who registered for the Mapping with Google massive open online course (MOOC) were asked several questions during the registration process to identify prior experience with eleven skills as well as their goals for registering for the course. Students selected goals from a list; they were periodically reminded of these goals during the MOOC. At the end of the course, we compared students' self reports of goal achievement on a post-course survey with behavioral click-stream analysis. In addition, we assessed how well prior skill in a subject predicts a student's course completion and found no correlation. Our research shows that students who completed course activities were more likely to earn certificates of completion than peers who did not.",https://doi.org/10.1145/2556325.2566240;http://dx.doi.org/10.1145/2556325.2566240,Proceedings of the First ACM Conference on Learning @ Scale Conference,L@S '14,,,,
ACM,Conference Paper,"Li X,Chang KM,Yuan Y,Hauptmann A",Massive Open Online Proctor: Protecting the Credibility of MOOCs Certificates,2015,"Massive Open Online Courses (MOOCs) enable everyone to receive high-quality education. However, current MOOC creators cannot provide an effective, economical, and scalable method to detect cheating on tests, which would be required for any certification. In this paper, we propose a Massive Open Online Proctoring (MOOP) framework, which combines both automatic and collaborative approaches to detect cheating behaviors in online tests. The MOOP framework consists of three major components: Automatic Cheating Detector (ACD), Peer Cheating Detector (PCD), and Final Review Committee (FRC). ACD uses webcam video or other sensors to monitor students and automatically flag suspected cheating behavior. Ambiguous cases are then sent to the PCD, where students peer-review flagged webcam video to confirm suspicious cheating behaviors. Finally, the list of suspicious cheating behaviors is sent to the FRC to make the final punishing decision. Our experiment show that ACD and PCD can detect usage of a cheat sheet with good accuracy and can reduce the overall human resources required to monitor MOOCs for cheating.",https://doi.org/10.1145/2675133.2675245;http://dx.doi.org/10.1145/2675133.2675245,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing,,,,,
