Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Development Approach of Formation of Individual Educational Trajectories Based on Neural Network Prediction of Student Learning Outcomes,Advances in Artificial Systems for Medicine and Education III,,,,10.1007/978-3-030-39162-1_28,Veronika V. ZaporozhkoDenis I. ParfenovVladimir M. Shardakov,2020,http://link.springer.com/chapter/10.1007/978-3-030-39162-1_28,Conference Paper
Implementation of Recommendation System and Technology for Villages Using Machine Learning and IoT,Evolutionary Computing and Mobile Sustainable Networks,,,,10.1007/978-981-15-5258-8_49,B. AchyuthS. Manasa,2021,http://link.springer.com/chapter/10.1007/978-981-15-5258-8_49,Conference Paper
Training Temporal and NLP Features via Extremely Randomised Trees for Educational Level Classification,Intelligent Tutoring Systems,,,,10.1007/978-3-030-80421-3_17,Tahani AljohaniAlexandra I. Cristea,2021,http://link.springer.com/chapter/10.1007/978-3-030-80421-3_17,Conference Paper
Learning Path Construction Using Reinforcement Learning and Bloom’s Taxonomy,Intelligent Tutoring Systems,,,,10.1007/978-3-030-80421-3_29,Seounghun KimWoojin KimHyeoncheol Kim,2021,http://link.springer.com/chapter/10.1007/978-3-030-80421-3_29,Conference Paper
Towards Integrating Conversational Agents and Learning Analytics in MOOCs,"Advances in Internet, Data & Web Technologies",,,,10.1007/978-3-319-75928-9_98,Stavros DemetriadisAnastasios KarakostasThrasyvoulos TsiatsosSanti CaballéYannis DimitriadisArmin WeinbergerPantelis M. PapadopoulosGeorge PalaigeorgiouCostas TsimpanisMatthew Hodges,2018,http://link.springer.com/chapter/10.1007/978-3-319-75928-9_98,Conference Paper
SeqSense: Video Recommendation Using Topic Sequence Mining,MultiMedia Modeling,,,,10.1007/978-3-319-73600-6_22,Chidansh BhattMatthew CooperJian Zhao,2018,http://link.springer.com/chapter/10.1007/978-3-319-73600-6_22,Conference Paper
Contribution of Pedagogical Agents to Motivate Learners in Online Learning Environments: The Case of the PAOLE Agent,Innovations in Smart Cities and Applications,,,,10.1007/978-3-319-74500-8_32,Abdelkrim BendouMohamed-Amine AbracheChihab Cherkaoui,2018,http://link.springer.com/chapter/10.1007/978-3-319-74500-8_32,Conference Paper
Towards the Differentiation of Initial and Final Retention in Massive Open Online Courses,Intelligent Computing Theories and Application,,,,10.1007/978-3-319-63309-1_3,Raghad Al-ShabandarAbir HussainAndy LawsRobert KeightJanet Lunn,2017,http://link.springer.com/chapter/10.1007/978-3-319-63309-1_3,Conference Paper
Deep Reinforcement Learning for Personalized Recommendation of Distance Learning,New Knowledge in Information Systems and Technologies,,,,10.1007/978-3-030-16184-2_57,Maroi AgrebiMondher SendiMourad Abed,2019,http://link.springer.com/chapter/10.1007/978-3-030-16184-2_57,Conference Paper
Design Thinking for Pre-empting Digital Disruption,Digital Transformation for a Sustainable Society in the 21st Century,,,,10.1007/978-3-030-29374-1_62,Aurona GerberMachdel Matthee,2019,http://link.springer.com/chapter/10.1007/978-3-030-29374-1_62,Conference Paper
Cause Analysis of Students’ Dropout Rate Using PSPP,"Machine Learning, Advances in Computing, Renewable Energy and Communication",,,,10.1007/978-981-16-2354-7_41,SakshiChetan SharmaVinay KukrejaDivpreet Kaur,2022,http://link.springer.com/chapter/10.1007/978-981-16-2354-7_41,Conference Paper
PS-LDA: A Course Item Model for Tutorial Personalized Recommendation,Web Information Systems and Applications,,,,10.1007/978-3-030-60029-7_7,Yuefeng DuAngzhi LiuXiaoguang LiBaoyan Song,2020,http://link.springer.com/chapter/10.1007/978-3-030-60029-7_7,Conference Paper
Learning Analytics for Professional and Workplace Learning: A Literature Review,Data Driven Approaches in Digital Education,,,,10.1007/978-3-319-66610-5_13,Adolfo Ruiz-CallejaLuis P. PrietoTobias LeyMaría Jesús Rodríguez-TrianaSebastian Dennerlein,2017,http://link.springer.com/chapter/10.1007/978-3-319-66610-5_13,Conference Paper
Recommender System in eLearning: A Survey,Proceeding of International Conference on Computational Science and Applications,,,,10.1007/978-981-15-0790-8_13,Pradnya V. KulkarniSunil RaiRohini Kale,2020,http://link.springer.com/chapter/10.1007/978-981-15-0790-8_13,Conference Paper
Beyond the Statistical Fringe,Topics from Australian Conferences on Teaching Statistics,,,,10.1007/978-1-4939-0603-1_5,Kaye E. Basford,2014,http://link.springer.com/chapter/10.1007/978-1-4939-0603-1_5,Conference Paper
Open Molecular Science for the Open Science Cloud,Computational Science and Its Applications – ICCSA 2017,,,,10.1007/978-3-319-62398-6_3,Antonio LaganàGabor TerstyanszkyJens Krüger,2017,http://link.springer.com/chapter/10.1007/978-3-319-62398-6_3,Conference Paper
China-Finland EduCloud Platform Towards Innovative Education,Image and Video Technology,,,,10.1007/978-3-319-92753-4_14,Jiehan ZhouJukka RiekkiMätti HämäläinenPasi MattilaXinguo YuXiwei LiuWeishan Zhang,2018,http://link.springer.com/chapter/10.1007/978-3-319-92753-4_14,Conference Paper
A Machine Learning Model for Predicting Academic Performance of Students Through Internet Usage,"Advances in Electronics, Communication and Computing",,,,10.1007/978-981-15-8752-8_32,J. NarenVithya GanesanP. GayathiriK. K. DhivyhalakshmiPraveena Ramalingam,2021,http://link.springer.com/chapter/10.1007/978-981-15-8752-8_32,Conference Paper
"Learning, Knowledge and Competence in Global Online-Universities: How Terminology Shapes Thinking",Learning Technology for Education in Cloud,,,,10.1007/978-3-319-22629-3_3,Sabine Siemsen,2015,http://link.springer.com/chapter/10.1007/978-3-319-22629-3_3,Conference Paper
Student success prediction in MOOCs,User Modeling and User-Adapted Interaction,,28,2,10.1007/s11257-018-9203-z,Josh GardnerChristopher Brooks,2018,http://link.springer.com/article/10.1007/s11257-018-9203-z,Article
A bibliometric review on latent topics and trends of the empirical MOOC literature (2008–2019),Asia Pacific Education Review,,22,3,10.1007/s12564-021-09692-y,Caixia LiuDi ZouXieling ChenHaoran XieWai Hong Chan,2021,http://link.springer.com/article/10.1007/s12564-021-09692-y,Article
"Are MOOC Learning Analytics Results Trustworthy? With Fake Learners, They Might Not Be!",International Journal of Artificial Intelligence in Education,,29,4,10.1007/s40593-019-00183-1,Giora AlexandronLisa Y. YooJosé A. Ruipérez-ValienteSunbok LeeDavid E. Pritchard,2019,http://link.springer.com/article/10.1007/s40593-019-00183-1,Article
Towards Designing Profitable Courses: Predicting Student Purchasing Behaviour in MOOCs,International Journal of Artificial Intelligence in Education,,31,2,10.1007/s40593-021-00246-2,Mohammad AlshehriAhmed AlamriAlexandra I. CristeaCraig D. Stewart,2021,http://link.springer.com/article/10.1007/s40593-021-00246-2,Article
A predictive approach based on efficient feature selection and learning algorithms’ competition: Case of learners’ dropout in MOOCs,Education and Information Technologies,,24,6,10.1007/s10639-019-09934-y,Mourdi YoussefSadgal MohammedEl Kabtane HamadaBerrada Fathi Wafaa,2019,http://link.springer.com/article/10.1007/s10639-019-09934-y,Article
MOOCs for Research: The Case of the Indiana University Plagiarism Tutorials and Tests,"Technology, Knowledge and Learning",,21,2,10.1007/s10758-016-9288-6,Theodore FrickCesur Dagli,2016,http://link.springer.com/article/10.1007/s10758-016-9288-6,Article
The Future of MOOCs: Adaptive Learning or Business Model?,International Journal of Educational Technology in Higher Education,,12,1,10.7238/rusc.v12i1.2475,Sir John DanielEsteban Vázquez CanoMercè Gisbert Cervera,2015,http://link.springer.com/article/10.7238/rusc.v12i1.2475,Article
An empirical investigation of the antecedents of learner-centered outcome measures in MOOCs,International Journal of Educational Technology in Higher Education,,16,1,10.1186/s41239-019-0144-3,Eyal RabinYoram M. KalmanMarco Kalz,2019,http://link.springer.com/article/10.1186/s41239-019-0144-3,Article
Deciphering the attributes of student retention in massive open online courses using data mining techniques,Education and Information Technologies,,24,3,10.1007/s10639-018-9829-9,Shivangi GuptaA. Sai Sabitha,2019,http://link.springer.com/article/10.1007/s10639-018-9829-9,Article
Users or Students? Privacy in University MOOCS,Science and Engineering Ethics,,22,5,10.1007/s11948-015-9692-7,Meg Leta JonesLucas Regner,2016,http://link.springer.com/article/10.1007/s11948-015-9692-7,Article
How MOOCs Link with Social Media,Journal of the Knowledge Economy,,7,2,10.1007/s13132-014-0219-2,Dimitrios KravvarisKatia Lida KermanidisGeorgios Ntanis,2016,http://link.springer.com/article/10.1007/s13132-014-0219-2,Article
A systematic analysis using classification machine learning algorithms to understand why learners drop out of MOOCs,Neural Computing and Applications,,33,21,10.1007/s00521-021-06122-3,Seema RawatDeepak KumarPraveen KumarChhaya Khattri,2021,http://link.springer.com/article/10.1007/s00521-021-06122-3,Article
Defining and measuring completion and assessment biases with respect to English language and development status: not all MOOCs are equal,International Journal of Educational Technology in Higher Education,,18,1,10.1186/s41239-021-00275-w,Sa’ar Karp GershonJosé A. Ruipérez-ValienteGiora Alexandron,2021,http://link.springer.com/article/10.1186/s41239-021-00275-w,Article
Abstracts from the 2016 Society of General Internal Medicine Annual Meeting,Journal of General Internal Medicine,,31,2,10.1007/s11606-016-3657-7,,2016,http://link.springer.com/article/10.1007/s11606-016-3657-7,Article
Learning potentials and educational challenges of massive open online courses (MOOCs) in lifelong learning,International Review of Education,,64,2,10.1007/s11159-018-9716-z,Mie BuhlLars Birch Andreasen,2018,http://link.springer.com/article/10.1007/s11159-018-9716-z,Article
Health—exploring complexity: an interdisciplinary systems approach HEC2016,European Journal of Epidemiology,,31,1,10.1007/s10654-016-0183-1,Eva GrillMartin MüllerUlrich Mansmann,2016,http://link.springer.com/article/10.1007/s10654-016-0183-1,Article
E-learning assessment for tourism education LISREL assisted intercultural tourism perception and data integrated satisfaction perspectives,Journal of Computing in Higher Education,,32,1,10.1007/s12528-019-09223-0,Ling QiuLinkai Qi,2020,http://link.springer.com/article/10.1007/s12528-019-09223-0,Article
Sociograms: An Effective Tool For Decision Making in Social Learning,"Technology, Knowledge and Learning",,24,4,10.1007/s10758-019-09416-7,Marta ZorrillaMariana de Lima Silva,2019,http://link.springer.com/article/10.1007/s10758-019-09416-7,Article
A data analytics approach to contrast the performance of teaching (only) vs. research professors,International Journal on Interactive Design and Manufacturing (IJIDeM),,14,4,10.1007/s12008-020-00713-5,Mario D. ChavezHéctor G. CeballosFrancisco J. Cantu-Ortiz,2020,http://link.springer.com/article/10.1007/s12008-020-00713-5,Article
The utilization of data analysis techniques in predicting student performance in massive open online courses (MOOCs),Research and Practice in Technology Enhanced Learning,,10,1,10.1186/s41039-015-0007-z,Glyn HughesChelsea Dobbins,2015,http://link.springer.com/article/10.1186/s41039-015-0007-z,Article
Integrating machine learning and blockchain to develop a system to veto the forgeries and provide efficient results in education sector,"Visual Computing for Industry, Biomedicine, and Art",,4,1,10.1186/s42492-021-00084-y,Dhruvil ShahDevarsh PatelJainish AdesaraPruthvi HinguManan Shah,2021,http://link.springer.com/article/10.1186/s42492-021-00084-y,Article
Abstracts of the 15th International Congress of the European Geriatric Medicine Society,European Geriatric Medicine,,10,1,10.1007/s41999-019-00221-0,,2019,http://link.springer.com/article/10.1007/s41999-019-00221-0,Article
Exploiting the Capabilities of Blockchain and Machine Learning in Education,Augmented Human Research,,6,1,10.1007/s41133-020-00039-7,Dhruvil ShahDevarsh PatelJainish AdesaraPruthvi HinguManan Shah,2021,http://link.springer.com/article/10.1007/s41133-020-00039-7,Article
Different underlying motivations and abilities predict student versus teacher persistence in an online course,Educational Technology Research and Development,,65,6,10.1007/s11423-017-9528-z,Ross M. HigashiChristian D. SchunnJesse B. Flot,2017,http://link.springer.com/article/10.1007/s11423-017-9528-z,Article
"A call for promoting ownership, equity, and agency in faculty development via connected learning",International Journal of Educational Technology in Higher Education,,15,1,10.1186/s41239-018-0128-8,Maha BaliAutumm Caines,2018,http://link.springer.com/article/10.1186/s41239-018-0128-8,Article
Innovation in higher education; will there be a role for “the academe/university” in 2025?,European Journal of Futures Research,,2,1,10.1007/s40309-014-0041-x,Eddie BlassPeter Hayward,2014,http://link.springer.com/article/10.1007/s40309-014-0041-x,Article
International EcoHealth One Health Congress 2016,EcoHealth,,13,1,10.1007/s10393-016-1182-0,,2016,http://link.springer.com/article/10.1007/s10393-016-1182-0,Article
Proceedings from the 12th Annual Conference on the Science of Dissemination and Implementation,Implementation Science,,15,1,10.1186/s13012-020-00985-1,,2020,http://link.springer.com/article/10.1186/s13012-020-00985-1,Article
"Editorial for EAIT issue 1, 2021",Education and Information Technologies,,26,1,10.1007/s10639-020-10423-w,Arthur Tatnall,2021,http://link.springer.com/article/10.1007/s10639-020-10423-w,Article
Security in online web learning assessment,World Wide Web,,18,6,10.1007/s11280-014-0320-2,Jorge MiguelSanti CaballéFatos XhafaJosep Prieto,2015,http://link.springer.com/article/10.1007/s11280-014-0320-2,Article
Emerging online educational models and the transformation of traditional universities,Electronic Markets,,26,4,10.1007/s12525-016-0223-4,Bhavik K. Pathak,2016,http://link.springer.com/article/10.1007/s12525-016-0223-4,Article
The Civic Mission of MOOCs: Engagement across Political Differences in Online Forums,International Journal of Artificial Intelligence in Education,,28,4,10.1007/s40593-017-0161-0,Michael YeomansBrandon M. StewartKimia MavonAlex KindelDustin TingleyJustin Reich,2018,http://link.springer.com/article/10.1007/s40593-017-0161-0,Article
"2013 In Vitro Biology Meeting. June 15 – 19, Providence, Rhode Island",In Vitro Cellular & Developmental Biology - Plant,,49,4,10.1007/s11627-013-9541-9,,2013,http://link.springer.com/article/10.1007/s11627-013-9541-9,Article
The future of value in digitalised higher education: why data privacy should not be our biggest concern,Higher Education,,,,10.1007/s10734-020-00639-7,Janja Komljenovic,2020,http://link.springer.com/article/10.1007/s10734-020-00639-7,Article
SPR 2018,Pediatric Radiology,,48,1,10.1007/s00247-018-4130-z,,2018,http://link.springer.com/article/10.1007/s00247-018-4130-z,Article
Learning Analytics and Digital Badges: Potential Impact on Student Retention in Higher Education,"Technology, Knowledge and Learning",,21,3,10.1007/s10758-016-9286-8,Dana-Kristin Mah,2016,http://link.springer.com/article/10.1007/s10758-016-9286-8,Article
What’s Next? A Recommendation System for Industrial Training,Data Science and Engineering,,3,3,10.1007/s41019-018-0076-2,Rajiv SrivastavaGirish Keshav PalshikarSaheb ChaurasiaArati Dixit,2018,http://link.springer.com/article/10.1007/s41019-018-0076-2,Article
Collaborative filtering for expansion of learner’s background knowledge in online language learning: does “top-down” processing improve vocabulary proficiency?,Educational Technology Research and Development,,62,5,10.1007/s11423-014-9344-7,Masanori YamadaSatoshi KitamuraHideya MatsukawaTadashi MisonoNoriko KitaniYuhei Yamauchi,2014,http://link.springer.com/article/10.1007/s11423-014-9344-7,Article
Cloud computing and semantic web technologies for ubiquitous management of smart cities-related competences,Education and Information Technologies,,26,2,10.1007/s10639-020-10351-9,Omiros IatrellisTheodor PanagiotakopoulosVassilis C. GerogiannisPanos FitsilisAchilles Kameas,2021,http://link.springer.com/article/10.1007/s10639-020-10351-9,Article
Exploring first-time online undergraduate and graduate students’ growth mindsets and flexible thinking and their relations to online learning engagement,Educational Technology Research and Development,,68,5,10.1007/s11423-020-09774-5,Hungwei TsengYu-Chun KuoEamonn Joseph Walsh Jr.,2020,http://link.springer.com/article/10.1007/s11423-020-09774-5,Article
The trends and outcomes of flipped learning research between 2012 and 2018: A descriptive content analysis,Journal of Computers in Education,,8,3,10.1007/s40692-021-00183-y,Bengi BirgiliFatma Nevra SeggieEbru Oğuz,2021,http://link.springer.com/article/10.1007/s40692-021-00183-y,Article
